intersection_id,longitude,latitude,net_x,net_y,nearest_edge,enter_edge,exit_edge,nearest_lane,dist_m,to_junction,candidates
I2840,172.6335849,-43.52440363,1035.692,1830.481,139807681#1,4830840#2,139807681#1,139807681#1_0,0.606,cluster_31799513_7194237353_7194237372_7194237373_#3more,139807681#1:0.61m;139810392#1:0.75m;139807681#1:0.92m;139810392#1:1.03m;337504041#1:1.19m;337504039#1:1.19m;337504041#1:1.19m;337504039#1:1.19m
I2843,172.633512,-43.53421802,1008.392,740.601,493360448#2,493360448#2,139633608,493360448#2_2,0.577,cluster_11597825748_5110077335_6734902303_9441165009_#1more,493360448#2:0.58m;493360448#2:2.42m;493360448#2:4.02m;139633608:4.76m;603915273#0:8.77m;657468209#1:9.5m;41647644#1:9.5m;41647644#1:9.5m
I2848,172.6335995,-43.52658813,1032.107,1587.845,493360952#1,493360952#1,114502601#2,493360952#1_0,0.743,cluster_11668380036_31064656_6157673289_7192172140_#2more,493360952#1:0.74m;493360952#1:1.51m;337282272#0:2.49m;337282272#0:3.0m;337282272#0:3.49m;337282272#0:3.85m;1255161082#0:3.9m;1255161082#0:4.02m
I2849,172.6336043,-43.52876955,1027.736,1345.567,-235758268#0,-235758268#0,235758268#0,-235758268#0_0,0.048,cluster_3345196771_5050769885,-235758268#0:0.05m;235758268#0:0.59m;1056154533#1:1.51m;1056154533#1:1.74m;493360952#1:1.8m;-1164963312:1.81m;114502601#2:1.81m;493360952#1:1.81m
I2850,172.6336231,-43.53530814,1014.991,619.354,139811240#1,700830261#0,822357566#1,139811240#1_1,0.181,cluster_10993270291_10993270292_10993270293_31814217_#4more,139811240#1:0.18m;139811240#1:0.37m;981884343#0:0.48m;981884343#0:0.62m;981884343#0:0.74m;981884343#0:0.8m;657468209#1:0.8m;1015728527#0:0.8m
I2853,172.6336311,-43.53639852,1013.258,498.243,1247576361#1,-464000309,822357566#1,1247576361#1_1,1.164,cluster_10993270291_10993270292_10993270293_31814217_#4more,1247576361#1:1.16m;464000308#1:1.55m;1247576361#1:1.7m;464000308#1:2.08m;1015728522#0:2.61m;1015728522#0:2.61m;1015728522#0:2.61m;822357566#1:2.61m
I2859,172.6336091,-43.53995081,1003.73,103.756,139811056#1,182824587#1,26701176,139811056#1_1,0.026,cluster_31064667_cluster_5317131190_7196771977,139811056#1:0.03m;-139811056#1:0.11m;139811056#1:0.16m;26701176:0.49m;182824587#1:0.55m;26701176:0.58m;182824587#1:0.62m;26701176:0.68m
I2874,172.6338282,-43.5320378,1038.699,982.236,116350190#1,-346180063#0,235373640,116350190#1_0,0.219,31064383,116350190#1:0.22m;32050447:0.73m;-346180063#0:2.21m;235373640:2.21m;1056154537#2:34.05m;-1056154537#2:34.05m;-1056154537#2:34.05m;1056154535#0:75.1m
I2906,172.6350261,-43.52876568,1142.637,1343.739,-1164963312,-1164963312,114502601#2,-1164963312_0,1.503,cluster_11668380036_31064656_6157673289_7192172140_#2more,-1164963312:1.5m;114502601#2:1.7m;1246754354:9.38m;-41655465#0:11.77m;41655465#0:11.77m;1056154533#1:113.14m;1056154533#1:113.14m;-235758268#0:113.14m
I2953,172.6366005,-43.52087953,1287.094,2217.08,611456671#5,611456671#5,1255161074#0,611456671#5_0,0.488,cluster_31104858_31796226_6202656945_6202656946_#2more,611456671#5:0.49m;-1394095983#0:0.56m;611456671#5:0.68m;1356531822#1:0.78m;611456671#5:0.91m;611456667:1.38m;611456667:1.42m;1255161074#1:1.42m
I2956,172.6366036,-43.52440344,1279.644,1825.706,337504041#1,337504041#1,-1394095983#0,337504041#1_0,0.299,cluster_444300985_7196337450_7196337480_7196337482_#1more,337504041#1:0.3m;337504041#1:0.51m;-1394095983#0:0.51m;1356531822#1:0.65m;-116419807#1:0.72m;116419807#1:0.72m;139807680#1:0.72m;139807680#1:0.72m
I2957,172.6366087,-43.52550414,1277.651,1703.454,-116419807#2,-116419807#2,116419807#2,-116419807#2_0,0.141,511969045,-116419807#2:0.14m;116419807#2:0.68m;116419808#0:1.13m;-116419808#0:1.36m;4830803:1.39m;-4830803:1.39m;-116419807#1:1.39m;116419807#1:1.39m
I2958,172.6366112,-43.52658421,1275.493,1583.496,-116419807#2,-116419807#2,116419807#2,-116419807#2_0,0.066,511969045,-116419807#2:0.07m;116419807#2:0.14m;337505266#1:0.54m;392044386#2:0.55m;114502608#1:0.56m;392044386#2:0.56m;-41655467#0:0.56m;337505266#1:0.56m
I2959,172.6366159,-43.52876151,1271.114,1341.675,-41655465#0,41655465#0,-41655465#0,-41655465#0_0,0.096,cluster_11590723297_11590723298_11590723299_11590723300_#1more,-41655465#0:0.1m;41655465#0:0.3m;-41655467#5:0.53m;41655467#5:0.6m;-1494899699:0.61m;41655465#3:0.61m;41655467#2:0.61m;-41655467#2:0.61m
I2961,172.6366231,-43.5298524,1269.312,1220.509,-1056154552#0,-41655467#5,41655467#5,-1056154552#0_0,3.762,cluster_11590723297_11590723298_11590723299_11590723300_#1more,-1056154552#0:3.76m;-206789267#1:3.85m;1056154552#0:3.99m;206789267#1:4.03m;-436513712#0:4.05m;1056154553#1:4.05m;1056154552#0:4.05m;-41655467#5:21.42m
I2963,172.6366249,-43.53203522,1264.687,978.079,235373640,-346180063#0,235373640,235373640_0,0.068,31064383,235373640:0.07m;-346180063#0:0.35m;-24721413#0:0.58m;24721413#0:0.67m;-1056154551:0.67m;-1056154551:0.67m;1056154551:0.67m;-346180061#0:0.67m
I2966,172.6366243,-43.53312891,1262.248,856.614,-1133016277#0,24721413#1,-1133016277#0,-1133016277#0_0,0.04,cluster_31814215_6157770735_9398209301_9398209302_#1more,-1133016277#0:0.04m;24721413#1:1.93m;-24721413#0:2.55m;24721413#0:2.55m;337266347#0:114.67m;-1056154551:117.59m;337266347#0:117.86m;392044388#1:119.24m
I2967,172.6366342,-43.53423421,1260.632,733.842,-114648656#1,-114648656#1,114648656#1,-114648656#1_1,0.239,cluster_31814215_6157770735_9398209301_9398209302_#1more,-114648656#1:0.24m;-114648656#1:0.52m;114648656#1:1.04m;-392044388#1:2.69m;-337266347#0:2.73m;-392044388#1:2.85m;-1133016277#0:2.85m;24721413#1:2.85m
I2968,172.636637,-43.53530451,1258.519,614.969,-1015728525#0,-114648656#1,114648656#1,-1015728525#0_0,0.099,cluster_31814215_6157770735_9398209301_9398209302_#1more,-1015728525#0:0.1m;1015728525#0:0.38m;1015728525#0:0.61m;1015728526#0:0.82m;1015728526#0:0.95m;993201434#1:1.0m;1015728526#0:1.0m;-1280080859:1.0m
I2970,172.6366389,-43.53639567,1256.287,493.781,822357566#1,1015751048#0,822357566#1,822357566#1_0,0.248,cluster_10993270291_10993270292_10993270293_31814217_#4more,822357566#1:0.25m;822357566#1:0.86m;-464000309:2.09m;-464000309:2.26m;1238158274#1:2.38m;-700830261#0:2.4m;1015751048#0:2.4m;1015751048#0:2.4m
I2976,172.636652,-43.53993495,1249.609,100.683,-597576896#0,1018480661,114501104#1,-597576896#0_0,0.33,cluster_10970068709_10970068710_10970068711_10970068712_#9more,-597576896#0:0.33m;597576896#0:0.5m;597576896#0:0.67m;597576896#1:0.8m;597576896#1:0.95m;1018480659:1.09m;1018480659:1.22m;114501104#1:1.3m
I3043,172.6380885,-43.52087534,1407.361,2215.178,611456667,611456667,821964039#2,611456667_1,0.223,cluster_11054828270_11054828271_609911023_609911046_#8more,611456667:0.22m;611456667:0.84m;611456667:1.04m;821964039#2:6.08m;821964039#2:7.23m;896891141#1:7.73m;821964039#2:7.83m;896891141#1:7.91m
I3063,172.6387031,-43.52875993,1439.78,1338.53,41655465#3,32030577#0,-32030577#0,41655465#3_0,0.237,cluster_13697298250_13697298257_13697298259_13697298261_#5more,41655465#3:0.24m;-1494899699:0.6m;-32030577#0:0.79m;32030577#0:0.79m;406753471:43.73m;-651950549#0:77.5m;-993555376#0:77.82m;651950549#0:78.12m
I3064,172.638701,-43.52984975,1437.225,1217.497,1056154553#1,1056154554#1,-1056154554#1,1056154553#1_0,0.098,cluster_11957964328_11957964332_11957964333_13445118801_#2more,1056154553#1:0.1m;-436513712#0:1.53m;-436513712#1:1.61m;436513712#1:1.61m;-1056154554#0:46.01m;1056154554#0:46.01m;1056154554#0:46.01m;1056154554#1:55.49m
